id,f20911t,f20911h,f20910p,f209potsecador,fecha
6561,17.1,77.2,322.5,0.0,2026-04-23 19:46:03.753253
6562,17.0,76.9,329.6,0.0,2026-04-23 19:51:03.754164
6563,17.1,77.1,320.3,0.0,2026-04-23 19:56:03.762873
6564,17.0,76.9,322.7,0.0,2026-04-23 20:01:03.754684
6565,18.4,70.5,329.5,80.0,2026-04-23 20:06:03.777325
6566,20.2,60.8,331.6,80.0,2026-04-23 20:11:03.769595
6567,21.6,54.6,331.6,80.0,2026-04-23 20:16:03.755322
6568,22.4,51.9,329.6,80.0,2026-04-23 20:21:03.764275
6569,22.9,49.9,336.9,80.0,2026-04-23 20:26:03.78635
6570,23.1,49.1,335.2,80.0,2026-04-23 20:31:03.756825
6571,23.2,48.4,334.3,80.0,2026-04-23 20:36:03.766419
6572,23.3,48.3,333.9,80.0,2026-04-23 20:41:03.76545
6573,23.4,47.9,337.0,80.0,2026-04-23 20:46:03.770798
6574,23.5,47.3,330.1,80.0,2026-04-23 20:51:03.764014
6575,23.7,46.6,333.8,80.0,2026-04-23 20:56:03.768177
6576,23.8,46.6,330.6,80.0,2026-04-23 21:01:03.757048
6577,23.9,46.2,330.8,80.0,2026-04-23 21:06:03.77366
6578,23.8,47.3,337.8,10.5,2026-04-23 21:11:03.759327
6579,23.2,50.2,336.7,10.5,2026-04-23 21:16:03.76846
6580,22.8,51.6,330.0,10.5,2026-04-23 21:21:03.762656
6581,22.6,52.4,337.9,10.5,2026-04-23 21:26:03.769197
6582,22.3,52.9,335.9,10.5,2026-04-23 21:31:03.767344
6583,22.3,53.7,333.3,10.5,2026-04-23 21:36:03.771379
6584,22.3,53.6,338.0,10.5,2026-04-23 21:41:03.772433
6585,22.3,54.0,334.7,10.5,2026-04-23 21:46:03.761889
6586,22.3,53.4,327.3,10.5,2026-04-23 21:51:03.76247
6587,22.1,54.2,336.6,10.5,2026-04-23 21:56:03.772773
6588,22.1,53.7,337.7,10.5,2026-04-23 22:01:03.764005
6589,22.1,54.2,328.7,10.5,2026-04-23 22:06:03.764375
6590,22.1,53.1,336.2,70.2,2026-04-23 22:11:03.764195
6591,22.7,51.0,331.9,70.2,2026-04-23 22:16:03.767735
6592,23.1,49.4,332.5,70.2,2026-04-23 22:21:03.77168
6593,23.3,48.8,331.6,70.2,2026-04-23 22:26:03.774926
6594,23.5,48.0,332.2,70.2,2026-04-23 22:31:03.772528
6595,23.5,47.9,326.9,70.2,2026-04-23 22:36:03.765543
6596,23.6,47.9,335.6,70.2,2026-04-23 22:41:03.775861
6597,23.6,47.7,336.2,70.2,2026-04-23 22:46:03.776234
6598,23.5,47.7,334.8,70.2,2026-04-23 22:51:03.771423
6599,23.5,47.6,330.3,70.2,2026-04-23 22:56:03.778733
6600,23.5,47.8,332.4,70.2,2026-04-23 23:01:03.766651
6601,23.6,47.8,329.7,70.2,2026-04-23 23:11:03.767606
6602,23.6,47.7,327.3,70.2,2026-04-23 23:16:03.77735
6603,23.6,47.3,329.7,70.2,2026-04-23 23:21:03.787196
6604,23.6,47.2,327.9,70.2,2026-04-23 23:26:03.775155
6605,23.5,47.4,331.0,70.2,2026-04-23 23:31:03.767813
6606,23.5,47.7,330.0,70.2,2026-04-23 23:36:03.769957
6607,23.4,48.0,331.9,70.2,2026-04-23 23:41:03.780457
6608,23.5,47.9,331.3,70.2,2026-04-23 23:46:03.769606
6609,23.5,47.9,333.1,70.2,2026-04-23 23:56:03.773448
6610,23.5,47.6,331.8,70.2,2026-04-24 00:01:03.772478
6611,23.6,47.5,327.2,70.2,2026-04-24 00:06:03.773428
6612,23.5,47.5,334.4,50.6,2026-04-24 00:11:03.779231
6613,23.2,48.4,330.0,50.6,2026-04-24 00:16:03.774222
6614,23.1,49.1,339.4,50.6,2026-04-24 00:21:03.788441
6615,23.1,49.4,330.1,50.6,2026-04-24 00:26:03.786377
6616,23.0,49.1,334.7,50.6,2026-04-24 00:31:03.779335
6617,23.1,49.7,327.7,50.6,2026-04-24 00:36:03.786006
6618,23.1,49.0,326.4,50.6,2026-04-24 00:41:03.780759
6619,23.0,49.4,331.1,50.6,2026-04-24 00:46:03.777896
6620,22.9,49.4,328.3,50.6,2026-04-24 00:56:03.779722
6621,22.9,49.5,334.0,50.6,2026-04-24 01:01:03.781356
6622,22.9,49.9,327.4,50.6,2026-04-24 01:06:03.77978
6623,22.9,49.4,332.9,50.6,2026-04-24 01:11:03.780788
6624,22.8,49.8,335.8,50.6,2026-04-24 01:16:03.781018
6625,22.9,49.8,337.1,50.6,2026-04-24 01:21:03.782295
6626,22.8,49.7,331.5,50.6,2026-04-24 01:26:03.782995
6627,22.9,49.6,332.1,50.6,2026-04-24 01:31:03.784464
6628,22.9,49.2,334.6,50.6,2026-04-24 01:36:03.792468
6629,22.8,49.7,330.3,50.6,2026-04-24 01:41:03.794174
6630,22.9,49.9,335.9,50.6,2026-04-24 01:51:03.796722
6631,23.0,49.5,333.4,50.6,2026-04-24 01:56:03.84958
6632,23.0,49.6,328.3,50.6,2026-04-24 02:01:03.787055
6633,22.9,49.3,327.1,50.6,2026-04-24 02:06:03.797319
6634,22.9,48.6,331.2,92.9,2026-04-24 02:11:03.786746
6635,23.3,47.2,328.6,92.9,2026-04-24 02:16:03.797912
6636,23.5,46.1,327.8,92.9,2026-04-24 02:21:03.798552
6637,23.7,45.9,329.6,92.9,2026-04-24 02:26:03.803709
6638,23.9,45.3,325.3,92.9,2026-04-24 02:31:03.792299
6639,24.0,45.1,331.0,92.9,2026-04-24 02:41:03.792275
6640,24.0,45.1,325.0,92.9,2026-04-24 02:46:03.800766
6641,24.0,44.5,330.8,92.9,2026-04-24 02:51:03.804408
6642,24.1,44.6,329.2,92.9,2026-04-24 02:56:03.802364
6643,24.1,44.7,329.6,92.9,2026-04-24 03:01:03.800279
6644,24.1,44.7,326.5,92.9,2026-04-24 03:06:03.802973
6645,24.2,44.3,328.8,92.9,2026-04-24 03:11:03.798006
6646,24.2,44.2,324.7,92.9,2026-04-24 03:16:03.809884
6647,24.2,44.4,328.8,92.9,2026-04-24 03:21:03.808687
6648,24.3,44.2,329.5,92.9,2026-04-24 03:31:03.800602
6649,24.2,44.1,328.1,92.9,2026-04-24 03:36:03.803336
6650,24.3,44.0,325.4,92.9,2026-04-24 03:41:03.800985
6651,24.3,44.2,329.5,92.9,2026-04-24 03:46:03.810016
6652,24.3,44.1,326.2,92.9,2026-04-24 03:51:03.812368
6653,24.3,44.1,328.0,92.9,2026-04-24 03:56:03.811838
6654,24.3,44.4,327.5,92.9,2026-04-24 04:01:03.81107
6655,24.2,44.0,325.0,92.9,2026-04-24 04:06:03.815763
6656,24.0,45.6,334.2,30.2,2026-04-24 04:11:03.810966
6657,23.3,47.6,329.3,30.2,2026-04-24 04:16:03.802579
6658,22.8,49.5,334.5,30.2,2026-04-24 04:21:03.805848
6659,22.6,50.8,326.2,30.2,2026-04-24 04:26:03.816532
6660,22.5,51.0,334.1,30.2,2026-04-24 04:31:03.810321
6661,22.3,51.2,331.1,30.2,2026-04-24 04:36:03.807765
6662,22.3,52.1,328.2,30.2,2026-04-24 04:41:03.80708
6663,22.3,51.8,328.1,30.2,2026-04-24 04:46:03.813742
6664,22.2,52.0,331.6,30.2,2026-04-24 04:51:03.817962
6665,22.2,51.9,339.2,30.2,2026-04-24 04:56:03.820174
6666,22.1,52.2,332.5,30.2,2026-04-24 05:01:03.813074
6667,22.1,52.2,330.9,30.2,2026-04-24 05:06:03.821291
6668,22.1,52.7,329.4,30.2,2026-04-24 05:11:03.812707
6669,22.1,52.3,340.1,30.2,2026-04-24 05:16:03.814134
6670,22.0,52.6,331.8,30.2,2026-04-24 05:21:03.818313
6671,22.2,52.7,334.0,30.2,2026-04-24 05:26:03.825037
6672,22.2,52.3,328.2,30.2,2026-04-24 05:31:03.814414
6673,22.2,52.2,331.5,30.2,2026-04-24 05:36:03.815241
6674,22.1,52.1,335.4,30.2,2026-04-24 05:41:03.822048
6675,22.0,52.5,332.0,30.2,2026-04-24 05:46:03.8155
6676,22.0,52.7,329.9,30.2,2026-04-24 05:56:03.829596
6677,22.1,52.9,330.6,30.2,2026-04-24 06:01:03.824445
6678,22.2,52.8,332.6,30.2,2026-04-24 06:06:03.816054
6679,22.3,52.1,326.9,50.0,2026-04-24 06:11:03.825877
6680,22.4,51.3,332.7,50.0,2026-04-24 06:16:03.821403
6681,22.6,50.8,329.8,50.0,2026-04-24 06:21:03.824626
6682,22.6,50.8,330.9,50.0,2026-04-24 06:26:03.825882
6683,22.7,50.1,332.6,50.0,2026-04-24 06:31:03.816626
6684,22.7,50.4,329.2,50.0,2026-04-24 06:36:03.822275
6685,22.7,50.0,334.0,50.0,2026-04-24 06:41:03.830692
6686,22.8,50.3,320.9,50.0,2026-04-24 06:46:03.823902
6687,22.9,50.2,327.2,50.0,2026-04-24 06:51:03.833712
6688,22.9,49.6,332.9,50.0,2026-04-24 06:56:03.825209
6689,22.9,49.8,335.3,50.0,2026-04-24 07:01:03.824769
6690,22.9,49.7,332.5,50.0,2026-04-24 07:06:03.832441
6691,22.9,49.6,327.2,50.0,2026-04-24 07:11:03.824999
6692,22.8,49.6,331.6,50.0,2026-04-24 07:16:03.826077
6693,22.8,49.7,330.2,50.0,2026-04-24 07:21:03.841962
6694,22.9,49.5,332.7,50.0,2026-04-24 07:26:03.825631
6695,22.9,49.3,331.3,50.0,2026-04-24 07:31:03.842449
6696,22.8,49.8,329.2,50.0,2026-04-24 07:36:03.831926
6697,23.0,49.4,323.6,50.0,2026-04-24 07:46:03.852592
6698,23.0,49.4,331.6,50.0,2026-04-24 07:51:03.838913
6699,23.0,49.0,333.5,50.0,2026-04-24 07:56:03.833911
6700,23.0,49.2,326.2,50.0,2026-04-24 08:01:03.835638
6701,23.0,49.4,329.8,50.0,2026-04-24 08:06:03.834561
6702,22.9,49.1,334.6,50.0,2026-04-24 08:11:03.834515
6703,22.9,49.5,332.5,50.0,2026-04-24 08:16:03.835267
6704,23.0,48.9,328.4,50.0,2026-04-24 08:21:03.841648
6705,22.9,49.6,332.5,50.0,2026-04-24 08:26:03.846716
6706,23.0,49.2,329.3,50.0,2026-04-24 08:31:03.838813
6707,23.2,48.9,331.9,50.0,2026-04-24 08:36:03.839212
6708,23.2,49.0,335.3,50.0,2026-04-24 08:41:03.840528
6709,23.2,49.2,329.6,50.0,2026-04-24 08:46:03.841034
6710,23.2,48.7,333.5,50.0,2026-04-24 08:51:03.84647
6711,23.3,49.0,332.5,50.0,2026-04-24 08:56:03.863419
6712,23.4,48.6,335.1,50.0,2026-04-24 09:01:03.840523
6713,23.4,48.4,334.1,50.0,2026-04-24 09:06:03.849179
6714,23.5,48.6,332.6,50.0,2026-04-24 09:11:03.842757
6715,23.5,48.8,330.6,0.0,2026-04-24 09:16:03.85047
6716,22.3,55.0,309.8,0.0,2026-04-24 09:21:03.85426
6717,23.8,50.4,320.3,0.0,2026-04-24 09:26:03.850761
6718,22.2,55.9,303.6,0.0,2026-04-24 09:31:03.857245
6719,23.8,50.7,317.9,0.0,2026-04-24 09:36:03.848238
6720,22.2,56.0,305.6,0.0,2026-04-24 09:41:03.855406
6721,23.8,50.8,321.0,0.0,2026-04-24 09:46:03.851345
6722,22.2,56.6,298.0,0.0,2026-04-24 09:51:03.858084
6723,23.8,51.0,311.4,0.0,2026-04-24 09:56:03.848254
6724,22.2,57.0,301.9,0.0,2026-04-24 10:01:03.859896
6725,23.8,50.8,314.4,0.0,2026-04-24 10:06:03.848503
6726,22.1,57.1,303.3,0.0,2026-04-24 10:11:03.850409
6727,23.7,51.8,309.4,0.0,2026-04-24 10:16:03.853924
6728,22.2,57.2,302.4,0.0,2026-04-24 10:21:03.849729
6729,23.8,51.9,311.6,0.0,2026-04-24 10:26:03.854723
6730,22.3,57.7,302.6,0.0,2026-04-24 10:31:03.851181
6731,23.7,51.9,307.5,0.0,2026-04-24 10:36:03.850849
6732,22.2,57.4,301.5,0.0,2026-04-24 10:41:03.850863
6733,23.7,52.1,307.9,0.0,2026-04-24 10:46:03.854255
6734,22.3,57.4,300.3,0.0,2026-04-24 10:51:03.862587
6735,23.5,53.4,297.7,0.0,2026-04-24 10:56:03.856221
6736,22.5,55.9,307.5,0.0,2026-04-24 11:01:03.855428
6737,23.4,53.6,297.9,0.0,2026-04-24 11:06:03.856094
6738,22.6,54.6,305.2,0.0,2026-04-24 11:11:03.857589
6739,23.3,53.8,297.9,0.0,2026-04-24 11:16:03.860031
6740,22.6,53.5,309.5,0.0,2026-04-24 11:21:03.857718
6741,23.4,53.3,297.5,0.0,2026-04-24 11:26:03.869028
6742,22.6,54.0,309.4,0.0,2026-04-24 11:31:03.862452
6743,23.4,53.5,293.0,0.0,2026-04-24 11:36:03.862501
6744,22.7,53.3,311.5,0.0,2026-04-24 11:41:03.861307
6745,23.2,53.9,295.4,0.0,2026-04-24 11:46:03.865388
6746,22.9,52.9,310.1,0.0,2026-04-24 11:51:03.866129
6747,23.1,54.6,302.0,0.0,2026-04-24 11:56:03.865466
6748,23.1,52.7,314.2,0.0,2026-04-24 12:01:03.868692
6749,22.9,54.5,301.0,0.0,2026-04-24 12:06:03.875454
6750,23.2,52.4,315.5,0.0,2026-04-24 12:11:03.866815
6751,22.9,54.8,297.8,0.0,2026-04-24 12:16:03.869099
6752,23.4,52.0,315.0,0.0,2026-04-24 12:21:03.871275
6753,22.7,55.6,300.6,0.0,2026-04-24 12:26:03.868406
6754,23.5,51.5,315.6,0.0,2026-04-24 12:31:03.866084
6755,22.6,55.4,294.7,0.0,2026-04-24 12:36:03.868854
6756,23.6,51.2,313.2,0.0,2026-04-24 12:41:03.870966
6757,22.5,55.4,297.5,0.0,2026-04-24 12:46:03.86893
6758,23.6,51.6,311.6,0.0,2026-04-24 12:51:03.877371
6759,22.5,55.9,308.5,0.0,2026-04-24 12:56:03.880876
6760,23.7,51.4,311.2,0.0,2026-04-24 13:01:03.869911
6761,22.5,55.8,299.4,0.0,2026-04-24 13:06:03.870917
6762,23.7,51.3,310.0,0.0,2026-04-24 13:11:03.870291
6763,22.5,56.0,307.2,0.0,2026-04-24 13:16:03.875339
6764,23.8,51.2,312.6,0.0,2026-04-24 13:21:03.876526
6765,22.3,56.2,300.1,0.0,2026-04-24 13:26:03.881618
6766,23.7,51.0,315.4,0.0,2026-04-24 13:31:03.872174
6767,22.4,56.3,295.8,0.0,2026-04-24 13:36:03.88437
6768,23.8,50.8,310.6,0.0,2026-04-24 13:41:03.885579
6769,22.3,55.9,300.3,0.0,2026-04-24 13:46:03.885204
6770,23.8,50.8,316.2,0.0,2026-04-24 13:51:03.914594
6771,22.3,56.1,302.5,0.0,2026-04-24 13:56:03.876574
